Date,Open,High,Low,Close,Adj Close,Volume
1993-04-28,1.388889,1.416667,1.388889,1.412037,1.029031,2856600
1993-04-29,1.416667,1.486111,1.412037,1.486111,1.083014,3747600
1993-04-30,1.486111,1.509259,1.444444,1.453704,1.059396,2964600
1993-05-03,1.453704,1.453704,1.444444,1.449074,1.056023,2937600
1993-05-04,1.453704,1.453704,1.388889,1.430556,1.042527,3304800
1993-05-05,1.435185,1.472222,1.435185,1.472222,1.072892,1884600
1993-05-06,1.472222,1.555556,1.472222,1.518519,1.106631,5356800
1993-05-07,1.518519,1.518519,1.476852,1.481481,1.079640,2248200
1993-05-10,1.481481,1.486111,1.430556,1.453704,1.059396,3279600
1993-05-11,1.453704,1.453704,1.444444,1.449074,1.056023,941400
1993-05-12,1.449074,1.449074,1.435185,1.435185,1.045901,2322000
1993-05-13,1.439815,1.439815,1.407407,1.435185,1.045901,2826000
1993-05-14,1.425926,1.425926,1.412037,1.412037,1.029031,25466400
1993-05-17,1.407407,1.412037,1.402778,1.407407,1.025657,5202000
1993-05-18,1.402778,1.407407,1.398148,1.398148,1.018909,3450600
1993-05-19,1.398148,1.416667,1.388889,1.402778,1.022283,7923600
1993-05-20,1.412037,1.412037,1.384259,1.384259,1.008788,4033800
1993-05-21,1.402778,1.402778,1.379630,1.379630,1.005414,3483000
1993-05-24,1.379630,1.398148,1.375000,1.398148,1.018909,3434400
1993-05-25,1.398148,1.407407,1.393519,1.398148,1.018909,1636200
1993-05-26,1.398148,1.398148,1.388889,1.398148,1.018909,838800
1993-05-27,1.393519,1.416667,1.393519,1.398148,1.018909,4125600
1993-05-28,1.398148,1.402778,1.379630,1.384259,1.008788,2934000
1993-06-01,1.388889,1.398148,1.388889,1.388889,1.012162,1400400
1993-06-02,1.398148,1.402778,1.393519,1.398148,1.018909,3331800
1993-06-03,1.430556,1.509259,1.425926,1.500000,1.093135,12983400
1993-06-04,1.509259,1.513889,1.472222,1.490741,1.086387,6136200
1993-06-07,1.500000,1.500000,1.467593,1.472222,1.072892,2226600
1993-06-08,1.472222,1.472222,1.453704,1.458333,1.062770,2264400
1993-06-09,1.458333,1.472222,1.458333,1.472222,1.072892,2359800
1993-06-10,1.462963,1.467593,1.412037,1.412037,1.029031,5477400
1993-06-11,1.444444,1.458333,1.439815,1.458333,1.062770,4888800
1993-06-14,1.462963,1.462963,1.416667,1.416667,1.032405,3391200
1993-06-15,1.416667,1.421296,1.351852,1.393519,1.015536,8112600
1993-06-16,1.384259,1.407407,1.379630,1.393519,1.015536,1368000
1993-06-17,1.384259,1.384259,1.296296,1.305556,0.951432,11723400
1993-06-18,1.305556,1.305556,1.231481,1.296296,0.944684,9201600
1993-06-21,1.324074,1.347222,1.319444,1.328704,0.968302,7351200
1993-06-22,1.319444,1.324074,1.287037,1.291667,0.941311,1832400
1993-06-23,1.277778,1.277778,1.236111,1.245370,0.907572,4951800
1993-06-24,1.250000,1.314815,1.250000,1.287037,0.937937,3585600
1993-06-25,1.282407,1.351852,1.273148,1.342593,0.978423,7635600
1993-06-28,1.333333,1.347222,1.324074,1.328704,0.968302,2534400
1993-06-29,1.328704,1.328704,1.291667,1.305556,0.951432,3322800
1993-06-30,1.310185,1.310185,1.268519,1.282407,0.934563,4303800
1993-07-01,1.277778,1.282407,1.245370,1.277778,0.931189,7538400
1993-07-02,1.277778,1.282407,1.277778,1.277778,0.931189,1323000
1993-07-06,1.282407,1.282407,1.208333,1.217593,0.887328,10542600
1993-07-07,1.212963,1.250000,1.203704,1.245370,0.907572,4557600
1993-07-08,1.314815,1.412037,1.296296,1.412037,1.029031,17395200
1993-07-09,1.412037,1.574074,1.398148,1.537037,1.120126,20413800
1993-07-12,1.527778,1.527778,1.472222,1.481481,1.079640,4780800
1993-07-13,1.481481,1.495370,1.472222,1.476852,1.076266,2030400
1993-07-14,1.476852,1.513889,1.476852,1.500000,1.093135,3025800
1993-07-15,1.513889,1.555556,1.513889,1.527778,1.113378,4060800
1993-07-16,1.527778,1.532407,1.509259,1.523148,1.110004,3646800
1993-07-19,1.513889,1.523148,1.504630,1.504630,1.096509,1960200
1993-07-20,1.495370,1.495370,1.481481,1.486111,1.083014,633600
1993-07-21,1.481481,1.481481,1.435185,1.439815,1.049274,2770200
1993-07-22,1.439815,1.439815,1.407407,1.407407,1.025657,2448000
1993-07-23,1.407407,1.412037,1.398148,1.402778,1.022283,1751400
1993-07-26,1.407407,1.421296,1.402778,1.402778,1.022283,1776600
1993-07-27,1.407407,1.444444,1.402778,1.421296,1.035779,2408400
1993-07-28,1.416667,1.439815,1.416667,1.439815,1.049274,2192400
1993-07-29,1.439815,1.453704,1.393519,1.412037,1.029031,2246400
1993-07-30,1.416667,1.439815,1.416667,1.435185,1.045901,741600
1993-08-02,1.439815,1.606481,1.439815,1.555556,1.133621,9343800
1993-08-03,1.555556,1.583333,1.532407,1.564815,1.140370,3630600
1993-08-04,1.564815,1.625000,1.546296,1.611111,1.174108,4116600
1993-08-05,1.611111,1.652778,1.597222,1.638889,1.194351,6264000
1993-08-06,1.652778,1.796296,1.648148,1.782407,1.298941,19931400
1993-08-09,1.763889,1.787037,1.726852,1.750000,1.275324,6514200
1993-08-10,1.750000,1.787037,1.740741,1.777778,1.295567,10283400
1993-08-11,1.777778,1.833333,1.777778,1.824074,1.329306,7446600
